feature,n_features,roc_auc_4class_micro,roc_auc_binary_detected,roc_auc_4class_Down,roc_auc_4class_Not Recovered,roc_auc_4class_Not Sig,roc_auc_4class_Up
boltz_rosetta_A_BC_hbonds_int,1,0.8185106709373066,0.5793972766064257,0.4869089984748347,0.5858536554741868,0.5688143700732656,0.5114700374531835
boltz_rosetta_A_C_dSASA_polar,1,0.818323547308045,0.5864222515060241,0.4448398576512455,0.5980233977970789,0.5805303800480197,0.41927501337613693
chai1_ptm_none,1,0.8182976635066552,0.5773867853180663,0.45033290378006874,0.5609751073365528,0.5646223325404213,0.48922389159120644
boltz_rosetta_packstat,1,0.8179840479036491,0.607214796686747,0.3749682257244535,0.579629100656984,0.5711211092124332,0.5072164258962011
boltz_rosetta_A_BC_packstat,1,0.8179840479036491,0.607214796686747,0.3749682257244535,0.579629100656984,0.5711211092124332,0.5072164258962011
rnn_solubility,1,0.8177494493919373,0.6110870787095484,0.5357871563573883,0.5829044285340137,0.5663676009239149,0.5559379722881925
boltz_rosetta_A_B_packstat,1,0.8176327084896986,0.6086659136546184,0.5175394001016776,0.571718925095032,0.5677343897261269,0.5087212413055109
esmfold_binder_below_membrane_end_glycine_linker,1,0.8175569759647612,0.5859251542733044,0.5069802405498283,0.5669886027561732,0.5731418278346606,0.5325823289602356
chai1_A_B_pdockq2,1,0.817445657378148,0.5552705999370252,0.5465796821305842,0.5691206200948152,0.5696527275025569,0.4793748968109831
esmfold_binder_below_membrane_middle,1,0.8172974719908073,0.5768217786527534,0.5538552405498283,0.5696870981316524,0.569260580779352,0.5181676170639709
esmfold_binder_below_membrane_middle_glycine_linker,1,0.8171413865747391,0.5762229304423825,0.5031142611683849,0.566126379042961,0.5706481768768459,0.5261941350537853
esmfold_plddt_hotspot_middle_glycine_linker,1,0.8169328736952983,0.5774382833214151,0.460266323024055,0.5628187358564412,0.556361395525218,0.46864958914896054
esmfold_binder_below_membrane_end,1,0.8169165948482235,0.5781268851947655,0.47452212199312716,0.5636809595696533,0.5692993645212076,0.5375481019570987
boltz_singleaascorewithseq_proteinmpnn,1,0.8169126770038877,0.5738085781115041,0.7009048043838411,0.5616425827693433,0.5739761521589194,0.5995036887994635
esmfold_end_C_B_pdockq_max,1,0.816828736952983,0.5312416315744559,0.6064486683848798,0.5771528372457102,0.5589512876202296,0.5471875436568917
esmfold_end_C_B_pdockq,1,0.816828736952983,0.5312416315744559,0.6064486683848798,0.5771528372457102,0.5589512876202296,0.5471875436568917
esmfold_start_glycine_linker_A_C_lis_score,1,0.8166724121421047,0.5236846674258944,0.5214776632302405,0.529437730085722,0.5258486457291918,0.5019558287506827
esmfold_binder_below_membrane_start_glycine_linker,1,0.8165828784831947,0.5910675977505673,0.4975300687285223,0.5689337559112351,0.5650618816147827,0.5104649538348214
boltz_rosetta_side2_score,1,0.8161406098943356,0.5666337223895582,0.49320030503304524,0.5728395332996418,0.5685903398152755,0.48241037988228996
boltz_rosetta_A_BC_side2_score,1,0.8161406098943356,0.5666337223895582,0.49320030503304524,0.5728395332996418,0.5685903398152755,0.48241037988228996
